#From,To,Type (1: Power Flow ; 2:Power Injection; 3: Voltage Angle)
1,247,1
2,6,1
2,8,1
2,248,1
3,2,1
4,3,1
4,16,1
5,1,1
5,7,1
7,12,1
8,14,1
9,5,1
11,8,1
11,9,1
11,250,1
12,10,1
12,20,1
12,251,1
13,19,1
15,16,1
15,31,1
15,75,1
17,15,1
17,252,1
18,3,1
20,18,1
20,23,1
21,19,1
21,22,1
22,23,1
22,24,1
23,254,1
25,24,1
25,232,1
26,19,1
27,28,1
27,34,1
28,36,1
30,29,1
31,34,1
31,43,1
31,74,1
33,36,1
35,27,1
35,32,1
35,43,1
36,16,1
36,40,1
37,32,1
37,38,1
37,42,1
37,46,1
38,47,1
38,256,1
39,52,1
40,68,1
43,257,1
44,43,1
44,45,1
45,48,1
46,47,1
48,258,1
49,48,1
49,50,1
49,55,1
51,50,1
53,51,1
54,56,1
54,261,1
55,56,1
58,59,1
60,59,1
60,64,1
60,238,1
61,41,1
62,39,1
62,61,1
62,73,1
63,64,1
64,29,1
64,239,1
64,241,1
65,69,1
66,61,1
66,65,1
67,64,1
70,71,1
72,71,1
73,68,1
74,15,1
77,86,1
78,72,1
78,76,1
79,83,1
80,82,1
81,70,1
82,83,1
83,71,1
83,85,1
84,79,1
85,233,1
86,84,1
86,87,1
86,90,1
87,81,1
88,81,1
88,85,1
88,235,1
89,90,1
89,92,1
91,90,1
91,93,1
92,41,1
93,186,1
94,100,1
95,103,1
97,245,1
98,97,1
99,98,1
100,98,1
101,94,1
101,104,1
102,101,1
102,103,1
103,139,1
105,111,1
106,107,1
109,107,1
109,108,1
109,110,1
109,146,1
109,147,1
112,107,1
112,147,1
112,148,1
112,150,1
113,106,1
113,163,1
114,113,1
114,115,1
116,142,1
116,167,1
117,160,1
118,151,1
118,161,1
118,264,1
119,116,1
119,124,1
119,125,1
120,125,1
121,154,1
122,121,1
122,123,1
122,127,1
124,122,1
124,159,1
125,126,1
128,122,1
129,3,1
129,109,1
130,109,1
130,149,1
131,115,1
131,132,1
132,140,1
133,135,1
134,135,1
134,140,1
134,143,1
136,138,1
137,105,1
137,139,1
138,96,1
138,137,1
141,143,1
141,144,1
142,143,1
144,145,1
145,265,1
147,106,1
148,105,1
151,152,1
153,120,1
153,151,1
153,152,1
154,155,1
157,127,1
157,156,1
157,158,1
160,166,1
161,119,1
162,133,1
164,163,1
166,167,1
167,117,1
167,165,1
169,210,1
169,219,1
171,170,1
173,198,1
174,68,1
175,172,1
175,189,1
176,190,1
177,188,1
178,189,1
179,227,1
180,57,1
181,177,1
183,184,1
184,172,1
184,185,1
185,186,1
187,168,1
187,185,1
189,168,1
189,177,1
189,179,1
190,57,1
190,66,1
190,67,1
190,177,1
190,182,1
191,190,1
191,194,1
192,193,1
194,193,1
195,194,1
195,196,1
197,196,1
197,198,1
197,199,1
198,174,1
198,196,1
198,216,1
199,217,1
200,202,1
201,216,1
202,203,1
204,170,1
204,203,1
205,203,1
208,207,1
208,209,1
210,205,1
210,206,1
210,207,1
210,211,1
210,216,1
212,211,1
215,213,1
216,213,1
216,220,1
217,214,1
218,217,1
221,226,1
222,224,1
223,222,1
223,225,1
225,226,1
226,227,1
228,227,1
228,229,1
230,219,1
231,23,1
234,71,1
236,55,1
237,58,1
240,62,1
242,173,1
243,98,1
244,99,1
246,175,1
249,3,1
253,22,1
255,33,1
259,49,1
260,53,1
262,59,1
263,109,1
266,31,1
266,273,1
267,273,1
267,277,1
268,272,1
268,281,1
268,287,1
268,291,1
269,289,1
269,290,1
270,266,1
270,294,1
270,296,1
271,266,1
272,271,1
272,297,1
272,298,1
273,299,1
274,267,1
275,274,1
276,274,1
276,278,1
279,276,1
280,268,1
282,268,1
283,268,1
284,268,1
285,268,1
286,268,1
288,269,1
291,269,1
292,270,1
293,270,1
294,300,1
295,270,1
2,2,2
4,4,2
5,5,2
7,7,2
9,9,2
10,10,2
22,22,2
26,26,2
32,32,2
34,34,2
35,35,2
47,47,2
53,53,2
55,55,2
60,60,2
61,61,2
69,69,2
79,79,2
83,83,2
86,86,2
96,96,2
97,97,2
99,99,2
103,103,2
104,104,2
107,107,2
108,108,2
120,120,2
123,123,2
126,126,2
130,130,2
131,131,2
138,138,2
139,139,2
142,142,2
143,143,2
147,147,2
150,150,2
156,156,2
159,159,2
165,165,2
166,166,2
175,175,2
177,177,2
178,178,2
180,180,2
181,181,2
182,182,2
184,184,2
187,187,2
188,188,2
194,194,2
195,195,2
198,198,2
210,210,2
216,216,2
218,218,2
220,220,2
224,224,2
230,230,2
240,240,2
243,243,2
251,251,2
252,252,2
254,254,2
256,256,2
258,258,2
259,259,2
268,268,2
269,269,2
272,272,2
275,275,2
278,278,2
279,279,2
280,280,2
285,285,2
291,291,2
294,294,2
295,295,2
296,296,2
17,17,3
76,76,3
89,89,3
93,93,3
118,118,3
190,190,3
208,208,3
214,214,3
250,250,3
284,284,3
