#From,To,Type (1: Power Flow ; 2:Power Injection; 3: Voltage Angle)
2,4898,1
4,1813,1
4,5241,1
4,9018,1
6,2923,1
6,4610,1
7,8407,1
8,423,1
8,6237,1
8,8472,1
9,1738,1
9,8817,1
10,6630,1
11,5496,1
12,1637,1
12,2378,1
13,2822,1
14,2869,1
14,6741,1
15,8867,1
15,9216,1
16,3708,1
17,2112,1
17,6981,1
18,9154,1
19,7390,1
20,1044,1
20,2979,1
20,8460,1
21,3670,1
21,6163,1
23,1779,1
24,3914,1
24,8343,1
25,3321,1
26,5016,1
26,5144,1
27,4847,1
29,1198,1
30,1296,1
31,5506,1
31,6322,1
32,249,1
32,1391,1
32,7819,1
32,8806,1
32,9043,1
33,3334,1
34,636,1
36,2369,1
36,2386,1
37,5132,1
37,6792,1
38,5742,1
41,8682,1
42,5919,1
44,1545,1
44,3541,1
44,5308,1
44,6313,1
46,1286,1
46,4029,1
47,2221,1
48,3575,1
49,1236,1
49,8375,1
50,3439,1
50,4459,1
51,2517,1
52,199,1
52,2494,1
52,7195,1
52,8613,1
53,4031,1
54,8774,1
57,8075,1
58,221,1
58,6153,1
60,6786,1
61,6811,1
62,5135,1
62,5474,1
63,92,1
63,1085,1
63,7160,1
66,1782,1
67,1540,1
67,1732,1
67,7946,1
68,4881,1
70,2324,1
71,8141,1
73,2704,1
75,6869,1
76,1362,1
76,4320,1
76,5346,1
78,398,1
79,7161,1
80,743,1
80,5989,1
81,6506,1
85,1906,1
87,5955,1
87,6236,1
88,904,1
89,9064,1
90,1860,1
91,806,1
92,242,1
92,630,1
92,1085,1
92,1581,1
92,2891,1
92,5680,1
92,6848,1
92,7786,1
92,9211,1
93,4599,1
95,3678,1
95,4479,1
95,4781,1
96,359,1
96,5994,1
98,2016,1
99,3024,1
99,9009,1
100,8081,1
101,5013,1
101,5496,1
102,2574,1
102,7540,1
103,2254,1
103,7501,1
105,2577,1
106,8258,1
108,3595,1
108,6546,1
110,421,1
111,4775,1
112,7218,1
114,3217,1
114,5810,1
115,1730,1
115,3391,1
117,3120,1
117,3328,1
118,8903,1
119,8220,1
120,5840,1
120,6678,1
121,8967,1
125,7441,1
127,3099,1
128,1554,1
129,417,1
130,536,1
131,1928,1
131,6229,1
132,2962,1
132,4393,1
133,3047,1
136,4385,1
137,736,1
137,4601,1
138,2031,1
140,3538,1
142,763,1
142,7835,1
144,4195,1
145,8473,1
146,569,1
146,3245,1
147,3949,1
150,5099,1
151,4090,1
152,8384,1
